Column 1,OSMrel,Kommun,Naturreservat,alltrails,coord,www,length,OSMrelation,Naturkartan
"Sörmlandsleden, etapp 24:1 ",9631287,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-24-1-vilsta-eskilstuna-hallsta,59.349783 16.510150,https://www.sormlandsleden.se/vandring/etapp/etapp-241,12,https://www.openstreetmap.org/relation/9631287,
"Sörmlandsleden, etapp 24:2 ",9631288,,,,59.285917 16.481283,https://www.sormlandsleden.se/vandring/etapp/etapp-24-2,14,https://www.openstreetmap.org/relation/9631288,
"Sörmlandsleden, etapp 24:3 ",9631289,,,,59.231750 16.388517,https://www.sormlandsleden.se/vandring/etapp/etapp-24-3,11.5,https://www.openstreetmap.org/relation/9631289,
"Sörmlandsleden, etapp 25 ",3925355,,,led/sweden/sodermanland/sormlandsleden-etapp-25-lundsjon-vallmotorp,59.080350 16.290433,https://www.sormlandsleden.se/vandring/etapp/etapp-25,9,https://www.openstreetmap.org/relation/3925355,
"Sörmlandsleden, etapp 26 ",3925356,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-26-vallmotorp-knorranvagen,59.038267 16.254750,https://www.sormlandsleden.se/vandring/etapp/etapp-26,8.5,https://www.openstreetmap.org/relation/3925356,
"Sörmlandsleden, etapp 27 ",3925149,,,,58.988667 16.256667,https://www.sormlandsleden.se/vandring/etapp/etapp-27,15.5,https://www.openstreetmap.org/relation/3925149,
"Sörmlandsleden, etapp 27:1 ",9632259,,,,58.972767 16.212117,https://www.sormlandsleden.se/vandring/etapp/etapp-271,4,https://www.openstreetmap.org/relation/9632259,
"Sörmlandsleden, etapp 28 ",3924910,,,,58.928833 16.267117,https://www.sormlandsleden.se/vandring/etapp/etapp-28,10,https://www.openstreetmap.org/relation/3924910,
"Sörmlandsleden, etapp 29 ",3114035,,,,58.876250 16.351000,https://www.sormlandsleden.se/vandring/etapp/etapp-29,9.5,https://www.openstreetmap.org/relation/3114035,
"Sörmlandsleden, etapp 30 ",3117090,,,,58.824783 16.342150,https://www.sormlandsleden.se/vandring/etapp/etapp-30,11,https://www.openstreetmap.org/relation/3117090,
"Sörmlandsleden, etapp 31 ",3693024,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-31-abo-stavsjo,58.776233 16.365750,https://www.sormlandsleden.se/vandring/etapp/etapp-31,11,https://www.openstreetmap.org/relation/3693024,
"Sörmlandsleden, etapp 31:1 ",9631248,,,,58.732217 16.376767,https://www.sormlandsleden.se/vandring/etapp/etapp-31-1,8.5,https://www.openstreetmap.org/relation/9631248,
